date,film indonesia,film horor indonesia,film komedi indonesia,film drama indonesia,film animasi indonesia
2012-06-01,40.0,43.0,29.0,32.0,17.0
2012-07-01,32.0,41.0,35.0,32.0,12.0
2012-08-01,38.0,40.0,27.0,29.0,16.0
2012-09-01,30.0,38.0,25.0,34.0,15.0
2012-10-01,33.0,45.0,26.0,34.0,11.0
2012-11-01,30.0,34.0,29.0,35.0,14.0
2012-12-01,33.0,26.0,20.0,33.0,16.0
2013-01-01,39.0,40.0,28.0,35.0,17.0
2013-02-01,27.0,32.0,26.0,25.0,15.0
2013-03-01,38.0,34.0,35.0,30.0,20.0
2013-04-01,37.0,38.0,27.0,29.0,18.0
2013-05-01,33.0,26.0,34.0,32.0,15.0
2013-06-01,29.0,27.0,23.0,30.0,18.0
2013-07-01,37.0,26.0,30.0,31.0,21.0
2013-08-01,34.0,29.0,29.0,37.0,22.0
2013-09-01,38.0,34.0,24.0,31.0,12.0
2013-10-01,37.0,35.0,29.0,33.0,13.0
2013-11-01,45.0,34.0,33.0,31.0,20.0
2013-12-01,36.0,28.0,27.0,32.0,13.0
2014-01-01,32.0,24.0,22.0,32.0,12.0
2014-02-01,38.0,34.0,28.0,33.0,15.0
2014-03-01,39.0,33.0,25.0,35.0,18.0
2014-04-01,45.0,37.0,27.0,37.0,16.0
2014-05-01,42.0,39.0,29.0,33.0,15.0
2014-06-01,40.0,38.0,22.0,34.0,15.0
2014-07-01,46.0,41.0,23.0,29.0,15.0
2014-08-01,33.0,40.0,31.0,32.0,14.0
2014-09-01,36.0,42.0,27.0,35.0,24.0
2014-10-01,34.0,38.0,19.0,35.0,18.0
2014-11-01,37.0,41.0,33.0,33.0,20.0
2014-12-01,32.0,44.0,31.0,35.0,16.0
2015-01-01,43.0,48.0,27.0,34.0,17.0
2015-02-01,39.0,44.0,25.0,36.0,15.0
2015-03-01,33.0,49.0,33.0,33.0,9.0
2015-04-01,35.0,47.0,31.0,31.0,13.0
2015-05-01,42.0,49.0,40.0,34.0,12.0
2015-06-01,45.0,54.0,32.0,24.0,11.0
2015-07-01,51.0,44.0,32.0,34.0,14.0
2015-08-01,55.0,48.0,30.0,22.0,22.0
2015-09-01,43.0,48.0,34.0,28.0,18.0
2015-10-01,36.0,46.0,33.0,34.0,22.0
2015-11-01,31.0,53.0,36.0,34.0,19.0
2015-12-01,43.0,60.0,29.0,29.0,21.0
2016-01-01,38.0,57.0,29.0,31.0,16.0
2016-02-01,40.0,60.0,29.0,37.0,20.0
2016-03-01,39.0,64.0,34.0,32.0,21.0
2016-04-01,42.0,65.0,37.0,40.0,17.0
2016-05-01,48.0,61.0,30.0,33.0,20.0
2016-06-01,43.0,67.0,30.0,35.0,21.0
2016-07-01,42.0,62.0,33.0,38.0,17.0
2016-08-01,38.0,59.0,31.0,34.0,16.0
2016-09-01,35.0,60.0,36.0,30.0,16.0
2016-10-01,41.0,57.0,23.0,33.0,19.0
2016-11-01,43.0,59.0,29.0,33.0,20.0
2016-12-01,53.0,61.0,29.0,30.0,17.0
2017-01-01,45.0,66.0,23.0,33.0,20.0
2017-02-01,49.0,69.0,29.0,32.0,21.0
2017-03-01,42.0,57.0,29.0,37.0,22.0
2017-04-01,39.0,63.0,32.0,34.0,24.0
2017-05-01,40.0,57.0,37.0,33.0,24.0
2017-06-01,41.0,63.0,32.0,34.0,17.0
2017-07-01,56.0,60.0,29.0,35.0,25.0
2017-08-01,41.0,53.0,33.0,36.0,19.0
2017-09-01,50.0,63.0,37.0,31.0,23.0
2017-10-01,41.0,56.0,29.0,31.0,21.0
2017-11-01,51.0,56.0,30.0,38.0,19.0
2017-12-01,48.0,53.0,36.0,33.0,15.0
2018-01-01,45.0,54.0,33.0,30.0,20.0
2018-02-01,46.0,58.0,36.0,36.0,16.0
2018-03-01,43.0,55.0,34.0,36.0,24.0
2018-04-01,49.0,56.0,37.0,30.0,25.0
2018-05-01,45.0,56.0,30.0,35.0,19.0
2018-06-01,41.0,59.0,34.0,37.0,22.0
2018-07-01,41.0,52.0,34.0,36.0,19.0
2018-08-01,48.0,47.0,30.0,37.0,19.0
2018-09-01,56.0,57.0,28.0,31.0,24.0
2018-10-01,49.0,51.0,37.0,36.0,21.0
2018-11-01,47.0,56.0,33.0,34.0,27.0
2018-12-01,50.0,53.0,31.0,34.0,20.0
2019-01-01,55.0,51.0,35.0,38.0,25.0
2019-02-01,50.0,53.0,40.0,40.0,22.0
2019-03-01,47.0,59.0,26.0,41.0,24.0
2019-04-01,55.0,59.0,29.0,39.0,21.0
2019-05-01,51.0,52.0,32.0,35.0,22.0
2019-06-01,57.0,52.0,41.0,36.0,22.0
2019-07-01,50.0,56.0,37.0,38.0,20.0
2019-08-01,44.0,49.0,39.0,36.0,24.0
2019-09-01,43.0,54.0,31.0,36.0,24.0
2019-10-01,58.0,53.0,32.0,38.0,24.0
2019-11-01,59.0,55.0,38.0,35.0,27.0
2019-12-01,50.0,51.0,37.0,33.0,27.0
2020-01-01,49.0,49.0,39.0,34.0,22.0
2020-02-01,58.0,48.0,36.0,38.0,24.0
2020-03-01,46.0,53.0,38.0,36.0,21.0
2020-04-01,47.0,57.0,37.0,37.0,23.0
2020-05-01,55.0,58.0,40.0,38.0,21.0
2020-06-01,50.0,68.0,40.0,35.0,28.0
2020-07-01,52.0,66.0,31.0,38.0,24.0
2020-08-01,51.0,59.0,28.0,37.0,23.0
2020-09-01,54.0,66.0,41.0,32.0,27.0
2020-10-01,59.0,64.0,42.0,41.0,17.0
2020-11-01,53.0,65.0,33.0,35.0,18.0
2020-12-01,56.0,69.0,30.0,31.0,26.0
2021-01-01,43.0,71.0,38.0,33.0,24.0
2021-02-01,53.0,69.0,42.0,33.0,25.0
2021-03-01,49.0,76.0,45.0,37.0,20.0
2021-04-01,47.0,68.0,40.0,36.0,24.0
2021-05-01,49.0,74.0,37.0,36.0,30.0
2021-06-01,52.0,85.0,35.0,39.0,27.0
2021-07-01,59.0,76.0,38.0,38.0,25.0
2021-08-01,48.0,82.0,37.0,38.0,23.0
2021-09-01,55.0,78.0,35.0,38.0,24.0
2021-10-01,52.0,80.0,47.0,39.0,18.0
2021-11-01,53.0,79.0,46.0,31.0,26.0
2021-12-01,60.0,79.0,44.0,36.0,28.0
2022-01-01,58.0,77.0,35.0,31.0,20.0
2022-02-01,62.0,82.0,43.0,37.0,23.0
2022-03-01,55.0,77.0,42.0,37.0,22.0
2022-04-01,52.0,84.0,41.0,40.0,22.0
2022-05-01,55.0,86.0,45.0,41.0,26.0
2022-06-01,57.0,83.0,42.0,38.0,19.0
2022-07-01,57.0,80.0,43.0,36.0,27.0
2022-08-01,51.0,83.0,42.0,39.0,28.0
2022-09-01,57.0,80.0,41.0,36.0,25.0
2022-10-01,58.0,85.0,33.0,38.0,18.0
2022-11-01,70.0,73.0,41.0,41.0,23.0
2022-12-01,67.0,79.0,38.0,36.0,30.0
2023-01-01,53.0,72.0,35.0,40.0,18.0
2023-02-01,56.0,73.0,47.0,40.0,25.0
2023-03-01,50.0,84.0,48.0,35.0,23.0
2023-04-01,55.0,82.0,46.0,41.0,29.0
2023-05-01,60.0,75.0,42.0,40.0,25.0
2023-06-01,64.0,71.0,46.0,38.0,28.0
2023-07-01,55.0,65.0,41.0,36.0,28.0
2023-08-01,55.0,74.0,42.0,36.0,32.0
2023-09-01,48.0,85.0,37.0,37.0,26.0
2023-10-01,58.0,76.0,43.0,40.0,28.0
2023-11-01,54.0,72.0,42.0,35.0,23.0
2023-12-01,57.0,75.0,36.0,40.0,31.0
2024-01-01,55.0,66.0,42.0,35.0,25.0
2024-02-01,59.0,71.0,42.0,38.0,26.0
2024-03-01,51.0,72.0,49.0,39.0,27.0
2024-04-01,53.0,71.0,46.0,46.0,23.0
2024-05-01,71.0,74.0,42.0,34.0,28.0
2024-06-01,54.0,72.0,43.0,43.0,31.0
2024-07-01,55.0,73.0,43.0,39.0,29.0
2024-08-01,70.0,67.0,42.0,40.0,23.0
2024-09-01,76.0,73.0,38.0,39.0,28.0
2024-10-01,55.0,76.0,42.0,40.0,30.0
2024-11-01,60.0,66.0,40.0,38.0,23.0
2024-12-01,63.0,66.0,38.0,43.0,25.0
2025-01-01,70.0,76.0,45.0,38.0,31.0
2025-02-01,57.0,70.0,45.0,43.0,29.0
2025-03-01,61.0,77.0,36.0,37.0,30.0
2025-04-01,66.0,70.0,43.0,39.0,34.0
2025-05-01,65.0,78.0,48.0,36.0,30.0
2025-06-01,61.0,73.0,48.0,41.0,31.0
2025-07-01,62.0,74.0,48.0,44.0,37.0
2025-08-01,56.0,80.0,44.0,39.0,28.0
2025-09-01,62.0,74.0,41.0,39.0,27.0
2025-10-01,62.0,72.0,40.0,36.0,31.0
2025-11-01,65.0,75.0,46.0,39.0,31.0
2025-12-01,61.0,80.0,46.0,35.0,28.0
2026-01-01,66.0,73.0,50.0,37.0,26.0
2026-02-01,69.0,83.0,49.0,40.0,37.0
2026-03-01,65.0,79.0,44.0,44.0,31.0
2026-04-01,66.0,87.0,40.0,48.0,28.0
2026-05-01,65.0,74.0,44.0,38.0,33.0
2026-06-01,65.0,82.0,46.0,44.0,30.0
