title,year,genre,rating,vote_count,audience,director,cast,overview
Pengabdi Setan,2017,Horor,6.7,1800,4206103,Joko Anwar,"Tara Basro, Bront Palarae, Ayu Laksmi","Setelah sang ibu meninggal akibat sakit bertahun-tahun, teror gaib menghantui keluarga di rumah tua mereka."
Siksa Kubur,2024,Horor,6.9,810,4000000,Joko Anwar,"Faradina Mufti, Reza Rahadian, Christine Hakim","Seorang wanita yang tidak percaya agama berniat membuktikan siksa kubur dengan ikut masuk ke liang lahad."
Ipar Adalah Maut,2024,Drama,7.1,650,4770000,Hanung Bramantyo,"Deva Mahenra, Michelle Ziudith, Davina Karamoy","Kisah perselingkuhan dalam rumah tangga ketika adik ipar tinggal bersama di rumah pasangan suami istri."
Kang Mak,2024,Komedi,7.0,500,4800000,Herwin Novianto,"Vino G. Bastian, Marsha Timothy, Indro Warkop","Seorang tentara kembali dari medan perang tanpa menyadari istrinya yang setia telah menjadi arwah penasaran."
Vina: Sebelum 7 Hari,2024,Horor,5.8,620,5815492,Anggy Umbara,"Nayla D. Purnama, Lydia Kandou","Kisah nyata tragis kematian Vina yang diungkap melalui arwah yang merasuki sahabatnya."
Sekawan Limo,2024,Komedi,7.1,430,2500000,Bayu Skak,"Bayu Skak, Nadya Arina, Keisya Levronka","Lima pemuda tersesat di Gunung Madyopuro karena melanggar mitos larangan menoleh ke belakang."
Ayat-Ayat Cinta,2008,Religi,7.0,1400,3676135,Hanung Bramantyo,"Fedi Nuril, Rianti Cartwright, Carissa Perusset","Kisah mahasiswa Indonesia di Al-Azhar Kairo yang diuji oleh cinta, fitnah, dan keyakinan spiritual."
Ada Apa dengan Cinta? 2,2016,Romantis,7.3,1200,3665509,Riri Riza,"Dian Sastrowardoyo, Nicholas Saputra","Setelah ratusan purnama berpisah, Cinta dan Rangga bertemu kembali di Yogyakarta."
Suzzanna: Bernapas dalam Kubur,2018,Horor,6.2,950,3346185,Rocky Soraya,"Luna Maya, Herjunot Ali, Clift Sangra","Kisah arwah Suzzanna yang hamil dan menuntut balas dendam kepada para perampok pembunuhnya."
Milea: Suara dari Dilan,2020,Romantis,6.4,750,3157814,Fajar Bustomi,"Iqbaal Ramadhan, Vanesha Prescilla","Sudut pandang Dilan menceritakan kembali kenangan kisah kasihnya bersama Milea hingga perpisahan."
Warkop DKI Reborn: Jangkrik Boss! Part 2,2017,Komedi,6.1,800,4083190,Anggy Umbara,"Abimana Aryasatya, Vino G. Bastian, Tora Sudiro","Kelanjutan petualangan Dono, Kasino, dan Indro memburu harta karun di Malaysia untuk melunasi utang."
Danur: I Can See Ghosts,2017,Horor,5.7,850,2736306,Awi Suryadi,"Prilly Latuconsina, Shareefa Daanish","Gadis indigo yang memiliki tiga teman hantu cilik berhadapan dengan arwah jahat yang mengancam adiknya."
Danur 2: Maddah,2018,Horor,5.8,700,2572871,Awi Suryadi,"Prilly Latuconsina, Sophia Latjuba, Bucek Depp","Risa mengunjungi rumah pamannya di Bandung dan merasakan kejanggalan akibat gangguan hantu wanita Belanda."
Danur 3: Sunyaruri,2019,Horor,5.6,550,2411036,Awi Suryadi,"Prilly Latuconsina, Rizky Nazar, Syifa Hadju","Risa berniat menutup mata batinnya demi hidup normal bersama kekasihnya, memicu kemarahan roh jahat."
Keluarga Cemara,2019,Drama,7.7,1100,1701498,Yandy Laurens,"Ringgo Agus Rahman, Nirina Zubir, Zara Adhisty","Keluarga mapan di Jakarta jatuh bangkrut dan harus bertahan hidup di pelosok desa di Jawa Barat."
Nanti Kita Cerita tentang Hari Ini (NKCTHI),2020,Drama,7.5,1300,2256908,Angga Dwimas Sasongko,"Rachel Amanda, Rio Dewanto, Sheila Dara Aisha","Setiap keluarga punya rahasia; konflik tiga bersaudara memuncak mengungkap trauma masa lalu keluarga mereka."
Impetigore (Perempuan Tanah Jahanam),2019,Horor,6.7,1450,1795068,Joko Anwar,"Tara Basro, Marissa Anita, Christine Hakim","Dua sahabat pergi ke desa asal mencari warisan misterius tanpa mengetahui kutukan mengerikan di desa itu."
Mencuri Raden Saleh,2022,Action,7.4,1600,2350000,Angga Dwimas Sasongko,"Iqbaal Ramadhan, Angga Yunanda, Aghniny Haque","Sekelompok mahasiswa berencana mencuri lukisan legendaris Raden Saleh di Istana Kepresidenan demi uang."
Petualangan Sherina 2,2023,Musikal,7.4,850,2414504,Riri Riza,"Sherina Munaf, Derby Romero, Isyana Sarasvati","Sherina dan Sadam bernostalgia di hutan Kalimantan sembari mengungkap kejahatan perburuan orangutan."
Air Mata di Ujung Sajadah,2023,Drama,6.9,450,3127671,Key Mangunsong,"Titi Kamal, Fedi Nuril, Citra Kirana","Perjuangan batin seorang ibu kandung yang ingin merebut kembali anaknya dari keluarga yang mengadopsinya."
Gundala,2019,Action,6.2,1900,1699433,Joko Anwar,"Abimana Aryasatya, Tara Basro, Bront Palarae","Sancaka yang memiliki kekuatan petir terdorong menjadi pahlawan melawan ketidakadilan dan kejahatan di kota."
Bumi Manusia,2019,Drama,6.9,1100,1316583,Hanung Bramantyo,"Iqbaal Ramadhan, Mawar de Jongh, Sha Ine Febriyanti","Cinta Minke, pribumi revolusioner, dengan Annelies Mellema putri Indo di era kolonial Hindia Belanda."
Kuntilanak 2,2019,Horor,5.4,320,1726579,Rizal Mantovani,"Sandrinna Michelle, Andryan Bima, Karina Suwandi","Dinda dan saudara-saudaranya mengunjungi rumah misterius wanita yang mengaku sebagai ibu kandungnya."
Si Doel The Movie,2018,Drama,6.8,600,1757653,Rano Karno,"Rano Karno, Cornelia Agatha, Maudy Koesnaedi","Doel berangkat ke Belanda atas ajakan Mandra dan diam-diam mencari kejelasan hubungan dengan Sarah."
My Stupid Boss,2016,Komedi,6.8,1200,3052657,Upi Avianto,"Reza Rahadian, Bunga Citra Lestari, Alex Abbad","Diana menghadapi bos ajaib dan menyebalkan berdarah Indonesia yang menjalankan kantor di Kuala Lumpur."
Cek Toko Sebelah,2016,Komedi,7.8,1700,2642957,Ernest Prakasa,"Ernest Prakasa, Dion Wiyoko, Chew Kin Wah","Erwin dihadapkan pada dilema karier cemerlangnya atau mengurus toko kelontong warisan ayahnya yang sakit."
Susah Sinyal,2017,Komedi,6.9,900,2172515,Ernest Prakasa,"Adinia Wirasti, Aurora Ribero, Ernest Prakasa","Hubungan ibu pengacara sukses dan putrinya yang renggang berusaha diperbaiki saat berlibur di Sumba."
Milly & Mamet,2018,Komedi,7.2,950,1563188,Ernest Prakasa,"Sissy Prescillia, Dennis Adhiswara, Julie Estelle","Mamet yang gemar memasak harus mengorbankan impiannya menjadi koki demi bekerja di pabrik milik mertua."
Qodrat,2022,Horor,7.0,800,1751637,Charles Gozali,"Vino G. Bastian, Marsha Timothy, Randy Pangalila","Seorang ustadz ahli ruqyah kembali ke desa asalnya untuk melawan iblis Assuala yang merasuki anak-anak."
Gampang Cuan,2023,Komedi,7.3,550,1570000,Rahabi Mandra,"Vino G. Bastian, Anya Geraldine, Alzi Markers","Tiga bersaudara perantau pontang-panting melunasi utang keluarga ratusan juta dengan berbagai trik finansial."
Jumbo,2025,Animasi,7.2,300,1500000,Ryan Adriandhy,"Prince Poetiray, Ariyo Wahab","Petualangan anak laki-laki yang berteman dengan makhluk ajaib dan belajar tentang keberanian serta persahabatan."
Si Juki The Movie: Panitia Hari Akhir,2017,Animasi,6.6,500,642398,Faza Meonk,"Faza Meonk, Bunga Citra Lestari, Indro Warkop","Si Juki dan tim ilmuwan berusaha menghentikan meteor raksasa yang mengancam menghancurkan Indonesia."
Nussa,2021,Animasi,7.3,720,443498,Bony Wirasmono,"Muzakki Ramdhan, Ocean Fajar, M. Adhiyat","Nussa berusaha mempertahankan juara kompetisi sains sekolah ketika murid baru Jonni datang dengan roket canggih."
Battle of Surabaya,2015,Animasi,6.9,800,120000,Aryanto Yuniawan,"Reza Rahadian, Maudy Ayunda","Musa, tukang semir sepatu, menjadi kurir surat rahasia dalam perjuangan pertempuran Surabaya 10 November 1945."
Kiko in the Deep Sea,2023,Animasi,6.0,150,55000,Herlina Hernawan,"Anastasia Amelia, Arbani Yasiz","Kiko dan kawan-kawan berpetualang ke laut dalam menyelamatkan kerajaan bawah laut yang tercemar."
The Raid: Redemption,2011,Action,7.6,3200,1844817,Gareth Evans,"Iko Uwais, Joe Taslim, Yayan Ruhian","Tim pasukan khusus terjebak di gedung apartemen 30 lantai milik gembong narkoba kejam dan pasukannya."
The Raid 2: Berandal,2014,Action,7.9,2900,1200000,Gareth Evans,"Iko Uwais, Arifin Putra, Julie Estelle","Rama menyamar ke dalam sindikat mafia Jakarta untuk membersihkan kepolisian yang korup dan melindungi keluarganya."
The Night Comes for Us,2018,Action,6.9,2100,1500000,Timo Tjahjanto,"Joe Taslim, Iko Uwais, Julie Estelle","Seorang mantan eksekutor Triad berbalik melawan organisasi kriminalnya demi menyelamatkan seorang anak yatim piatu."
Headshot,2016,Action,6.3,1300,732983,Kimo Stamboel & Timo Tjahjanto,"Iko Uwais, Chelsea Islan, Sunny Pang","Pria amnesia terbangun dan harus berhadapan dengan masa lalunya yang kelam bersama bos sindikat kriminal."
Hit & Run,2019,Action,6.4,600,450000,Ody C. Harahap,"Joe Taslim, Tatjana Saphira, Jefri Nichol","Polisi selebriti yang narsis harus bekerja sama dengan penipu dan rekannya demi menangkap gembong narkoba."
Surga yang Tak Dirindukan,2015,Religi,6.9,900,1523798,Kuntz Agus,"Fedi Nuril, Laudya Cynthia Bella, Raline Shah","Kehidupan rumah tangga harmonis Pras dan Arini goyah ketika Pras terpaksa menikahi wanita lain yang putus asa."
Surga yang Tak Dirindukan 2,2017,Religi,6.7,750,1637459,Hanung Bramantyo,"Fedi Nuril, Laudya Cynthia Bella, Raline Shah, Reza Rahadian","Pertemuan kembali di Budapest membuka lembaran pengorbanan cinta dan keikhlasan demi kebahagiaan bersama."
Tenggelamnya Kapal Van der Wijck,2013,Drama,7.6,1800,1724110,Sunil Soraya,"Herjunot Ali, Pevita Pearce, Reza Rahadian","Tragedi cinta Zainuddin dan Hayati yang terhalang adat Minangkabau berujung pada bencana pelayaran kapal legendaris."
Ketika Cinta Bertasbih,2009,Religi,7.0,850,3100906,Chaerul Umam,"Kholidi Asadil Alam, Oki Setiana Dewi","Perjuangan Azzam menuntut ilmu di Kairo sambil bekerja membanting tulang demi membiayai keluarganya di tanah air."
Sang Pencerah,2010,Religi,7.2,700,1108620,Hanung Bramantyo,"Lukman Sardi, Zaskia Adya Mecca, Slamet Rahardjo","Kisah perjuangan Ahmad Dahlan mendirikan organisasi Muhammadiyah di tengah penolakan tradisi kuno."
Pocong 2,2006,Horor,5.5,500,1050000,Monty Tiwa,"Revalina S. Temat, Ringgo Agus Rahman","Dua bersaudara menyewa apartemen murah tanpa mengetahui sejarah kelam bunuh diri dan kutukan pocong di dalamnya."
Jelangkung,2001,Horor,6.6,1200,1300000,Rizal Mantovani & Jose Poernomo,"Winky Wiryawan, Melanie Ariyanto, Ronny Dozer","Empat sekawan pencari tempat angker memainkan ritual jelangkung di desa misterius Angkerbatu."
Ada Apa dengan Cinta?,2002,Romantis,7.7,2800,2700000,Rudy Soedjarwo,"Dian Sastrowardoyo, Nicholas Saputra, Ladya Cheryl","Kisah cinta SMA populer Cinta dan Rangga, pemuda penyendiri pencinta puisi di Jakarta awal 2000-an."
Eiffel... I'm in Love,2003,Romantis,6.8,1100,2632300,Nasri Cheppy,"Samuel Rizal, Shandy Aulia","Kisah cinta remaja Tita yang manja dijodohkan dengan Adit, pemuda kaku putra teman ayahnya dari Prancis."
Petualangan Sherina,2000,Musikal,7.8,2400,1600000,Riri Riza,"Sherina Munaf, Derby Romero, Didi Petet","Sherina pindah sekolah ke Bandung dan terlibat petualangan diculik komplotan penjahat bersama teman sekelasnya Sadam."
